datasetKey,datasetTitle
a69c6cda-5dc0-4362-88ed-b39d90eb4d17,Hoverfly records verified via iRecord
02d1e772-54ee-4767-b4b8-c35f0c7270ba,NBIS Records to December 2016
a86201a4-fa20-44e5-ade2-68ea3563cfa8,"Macro-moth distribution records for the UK from Butterfly Conservation, up to 2019"
040c5662-da76-4782-a48e-cdea1892d14c,International Barcode of Life project (iBOL)
a99ca3c9-7448-4bf6-aba5-0ef61b01232c,Rotherham Biological Records Centre - Non-sensitive Records from all taxonomic groups
ad07ac5e-718d-40cc-8093-b61169b745ef,"Shieldbug and allied species records, from iRecord"
1270b3c8-ff55-4b63-a407-dcd7e08cd23f,Dragonfly records from the British Dragonfly Society Recording Scheme
0e7ec47d-6247-4fdd-bfb7-96281e0b5ebe,Wider Countryside Butterfly Scheme (WCBS)
14e259a2-7985-4001-b799-1dc177067ab1,Mayfly (Ephemeroptera) Data for Great Britain for 1906-2017
b4c0c858-f6f3-415f-aec1-f7e3534a8126,UK Ladybird Survey data from iRecord
bba60198-3eb5-4101-954d-3e2c87df4b73,Caddisfly (Trichoptera) records from Britain (excluding Northern Ireland and Channel Islands) up to July 2024 from the National Trichoptera (Caddisfly) Recording Scheme
bbee118c-a50e-4f7f-bca1-d5bfefc5360b,SER Species-based Surveys
1ac5a87d-2256-49b5-af3e-88cf2f651c1d,Cambridgeshire and Peterborough Environmental Records Centre data
1a20c977-7365-49d2-8100-5978d4e52234,Soldierflies and Allies Recording Scheme - data verified via iRecord
1c736f5f-18d4-40d3-b25a-ec9d3c3500c7,Argyll Biological Records Dataset
1e266c3d-92ef-4d5a-8e4a-c04742c772c3,UK Butterfly Monitoring Scheme (UKBMS)
c3c56ab1-706c-4e7f-85f8-f6f860e203f2,Merseyside BioBank (verified)
20fa3e49-f75c-4aad-adcd-6b3882caf6db,HBRG Insects Dataset Vol 1
c358edb6-9b46-45eb-a173-b854910500a9,Fife Nature Records Centre Combined Dataset
c8ab6260-a5b3-4605-a810-130bc08cf7ea,Moths in Berkshire vice-county - records verified via iRecord
cbc9dc02-6315-4daf-add2-d132ace4662c,Steve Lane - Warwickshire dataset and Personal records from various vice-counties
